Date,Adj Close,Close,High,Low,Open,Volume
,COMI.CA,COMI.CA,COMI.CA,COMI.CA,COMI.CA,COMI.CA
2020-01-02,37.81723403930664,41.42820358276367,41.55283737182617,41.129085540771484,41.38832092285156,570963
2020-01-05,36.7978515625,40.31148910522461,40.879817962646484,40.132015228271484,41.42820358276367,1679811
2020-01-06,36.838809967041016,40.35635757446289,40.630550384521484,39.93260192871094,40.31148910522461,1865728
2020-01-08,37.77172088623047,41.37834930419922,41.727325439453125,39.94755935668945,40.35635757446289,4145684
2020-01-09,38.08572769165039,41.72233963012695,41.92673873901367,41.37834930419922,41.37834930419922,5606714
2020-01-12,38.24045944213867,41.891841888427734,42.00151824951172,41.627620697021484,41.72233963012695,727424
2020-01-13,37.76717758178711,41.37336730957031,41.87189865112305,41.049320220947266,41.891841888427734,8833615
2020-01-14,38.031124114990234,41.66251754760742,41.851959228515625,41.144039154052734,41.37336730957031,3888680
2020-01-15,38.23135757446289,41.88187026977539,42.21588897705078,41.42820358276367,41.66251754760742,2022628
2020-01-16,38.46344757080078,42.13612365722656,42.37541961669922,41.87688446044922,41.88187026977539,4782181
2020-01-19,39.3781623840332,43.138179779052734,43.422340393066406,41.911781311035156,42.13612365722656,1954260
2020-01-20,38.99589920043945,42.71940994262695,43.32762145996094,42.285682678222656,43.138179779052734,1786982
2020-01-21,38.6500358581543,42.34052276611328,42.62468719482422,42.11119842529297,42.71940994262695,1330475
2020-01-22,39.05960464477539,42.78920364379883,42.888912200927734,42.574832916259766,42.34052276611328,1893666
2020-01-23,38.741050720214844,42.44023132324219,42.79917526245117,42.285682678222656,42.78920364379883,967512
2020-01-26,38.69554138183594,42.390377044677734,42.819114685058594,42.20591735839844,42.44023132324219,620294
2020-01-27,38.64093017578125,42.33055114746094,42.67454147338867,42.12615203857422,42.390377044677734,1959760
2020-01-28,38.559017181396484,42.240814208984375,42.38539123535156,41.95166778564453,42.33055114746094,1379000
2020-01-29,38.559017181396484,42.240814208984375,42.240814208984375,42.240814208984375,42.240814208984375,0
2020-01-30,38.718292236328125,42.41530227661133,42.52497863769531,42.37043380737305,42.295654296875,2586738
2020-02-02,38.72739791870117,42.42527389526367,42.50005340576172,42.37541961669922,42.41530227661133,704023
2020-02-03,38.72739791870117,42.42527389526367,42.42527389526367,42.42527389526367,42.42527389526367,0
2020-02-04,38.72739791870117,42.42527389526367,42.42527389526367,42.42527389526367,42.42527389526367,0
